Datum,Kurs
2020-12-02,230.00
2020-12-03,230.00
2020-12-04,230.00
2020-12-07,230.00
2020-12-08,230.00
2020-12-09,230.00
2020-12-10,230.00
2020-12-11,230.00
2020-12-14,230.00
2020-12-15,230.00
2020-12-16,228.00
2020-12-17,230.00
2020-12-18,228.00
2020-12-21,225.00
2020-12-22,230.00
2020-12-23,230.00
2020-12-28,230.00
2020-12-29,230.00
2020-12-30,230.00
2021-01-04,228.55
2021-01-05,229.66
2021-01-06,235.20
2021-01-07,233.92
2021-01-08,233.92
2021-01-11,235.31
2021-01-12,238.55
2021-01-13,238.28
2021-01-14,237.36
2021-01-15,236.85
2021-01-18,239.70
2021-01-19,239.87
2021-01-20,243.75
2021-01-21,244.70
2021-01-22,243.28
2021-01-25,240.10
2021-01-26,240.16
2021-01-27,239.42
2021-01-28,238.97
2021-01-29,236.99
2021-02-01,236.64
2021-02-02,241.39
2021-02-03,242.29
2021-02-04,245.64
2021-02-05,246.98
2021-02-08,247.89
2021-02-09,251.09
2021-02-10,248.53
2021-02-11,249.96
2021-02-12,247.68
2021-02-15,252.15
2021-02-16,252.85
2021-02-17,254.24
2021-02-18,252.65
2021-02-19,250.59
2021-02-22,248.31
2021-02-23,245.03
2021-02-24,243.00
2021-02-25,245.82
2021-02-26,243.11
2021-03-01,246.00
2021-03-02,246.00
2021-03-03,246.00
2021-03-04,238.11
2021-03-05,246.00
2021-03-08,246.00
2021-03-09,246.00
2021-03-10,251.59
2021-03-11,252.40
2021-03-12,249.47
2021-03-15,252.00
2021-03-16,252.00
2021-03-17,252.00
2021-03-18,252.00
2021-03-19,252.00
2021-03-22,250.00
2021-03-23,250.00
2021-03-24,250.00
2021-03-25,250.00
2021-03-26,250.00
2021-03-29,250.00
2021-03-30,250.00
2021-03-31,250.58
2021-04-01,256.32
2021-04-06,260.31
2021-04-07,255.07
2021-04-08,258.44
2021-04-09,258.28
2021-04-12,254.44
2021-04-13,258.80
2021-04-14,260.58
2021-04-15,259.01
2021-04-16,258.84
2021-04-19,257.00
2021-04-20,256.67
2021-04-21,261.53
2021-04-22,258.60
2021-04-23,257.55
2021-04-26,258.00
2021-04-27,254.15
2021-04-28,259.05
2021-04-29,258.71
2021-04-30,258.71
2021-05-03,259.77
2021-05-04,257.22
2021-05-05,256.14
2021-05-06,256.14
2021-05-07,259.26
2021-05-10,259.47
2021-05-11,256.69
2021-05-12,250.00
2021-05-13,251.00
2021-05-14,251.00
2021-05-17,251.00
2021-05-18,251.00
2021-05-19,249.00
2021-05-20,249.00
2021-05-21,251.00
2021-05-25,251.00
2021-05-26,251.73
2021-05-27,259.46
2021-05-28,259.55
2021-05-31,251.00
2021-06-01,253.00
2021-06-02,260.00
2021-06-03,260.00
2021-06-04,260.00
2021-06-07,260.00
2021-06-08,260.00
2021-06-09,260.00
2021-06-10,260.00
2021-06-11,260.09
